modern_site_code,class,year_1870,year_2017
LWSL1,Tea Plantations,NA,1
LWSL1,Timber Plantations,NA,1
NDVT1,Tea Plantations,NA,1
NDVT1,Timber Plantations,NA,0.5
NDVT2,Agricultural Land,NA,1
NDVT2,Settlements,NA,1
NDVT2,Tea Plantations,NA,0.5
NDVT2,Timber Plantations,NA,0.25
OTCM1,Agricultural Land,NA,0.14285714285714285
OTCM1,Settlements,NA,1
OTCM1,Tea Plantations,NA,1
OTCM1,Timber Plantations,NA,0.3333333333333333
OTCM2,Agricultural Land,NA,0.14285714285714285
OTCM2,Settlements,NA,1
OTCM2,Tea Plantations,NA,0.3333333333333333
OTCM2,Timber Plantations,NA,0.5
OTCM3,Settlements,NA,1
OTCM3,Tea Plantations,NA,1
OTCM3,Timber Plantations,NA,1
RNMD1,Tea Plantations,NA,1
RNMD2,Tea Plantations,NA,1
RNMD2,Timber Plantations,NA,1
SMPK2,Settlements,NA,1
SMPK2,Timber Plantations,NA,1
TMTE1,Shola Forest,NA,1
TMTE1,Tea Plantations,NA,1
TMTE1,Timber Plantations,NA,0.5
WLTN1,Agricultural Land,NA,0.16666666666666669
WLTN1,Settlements,NA,0.5
WLTN1,Tea Plantations,NA,1
WLTN2,Agricultural Land,NA,1
WLTN2,Tea Plantations,NA,0.25
WLTN2,Timber Plantations,NA,1
WTCM1,Timber Plantations,NA,1
WTCM2,Shola Forest,NA,0.5
