modern_site_code,historical_site_code,longitude,latitude,ID,t_mean_dry_2010,t_mean_rainy_2010,ppt_dry_2010,ppt_rainy_2010
ASFQ42,NA,76.6286255,11.35142201,22,1.0995121002197266,1.245417594909668,-7.2226206461588545,15.368281046549479
ASFQ43,NA,76.57028335,11.34768537,23,1.1454544067382812,1.238001823425293,-9.201011657714844,25.04730224609375
ASFQ45,NA,76.58705588,11.34048546,24,1.1073586146036785,1.2227004369099934,-7.948394775390625,20.333211263020832
ASFQ46,NA,76.70524849,11.33347855,25,1.0611324310302734,1.2209033966064453,-7.128520965576172,13.820805867513021
ASFQ47,NA,76.56527554,11.32850959,26,1.1245934168497722,1.2157074610392253,-9.049921671549479,25.014058430989582
ASFQ48,NA,76.73574117,11.32845085,27,1.007863998413086,1.2085075378417969,-6.485706329345703,6.102691650390625
ASFQ50,NA,76.61974909,11.31436879,28,1.05865478515625,1.2174396514892578,-6.4197845458984375,12.921768188476562
ASFQ51,NA,76.67748725,11.31403575,29,1.0550880432128906,1.1980133056640625,-7.928466796875,16.5672607421875
ASFQ52,NA,76.66696305,11.30984907,30,1.0661441802978515,1.214366340637207,-7.646372985839844,15.986355590820313
ASFQ53,NA,76.73793628,11.30905469,31,0.9440778096516927,1.1707738240559895,-5.816375732421875,0.17612711588541666
ASFQ55,NA,76.56310215,11.30790616,32,1.1409250895182292,1.2595510482788086,-8.054766337076822,21.615132649739582
ASFQ56,NA,76.61229999,11.30789132,33,1.05986754099528,1.2143656412760417,-6.534402211507161,13.691838582356771
ASFQ58,NA,76.58461073,11.30253438,34,1.0920565923055012,1.2395016352335613,-6.838682810465495,15.586339314778646
ASFQ59,NA,76.7812738,11.29704546,35,0.8857682545979818,1.156869888305664,-6.130465189615886,-8.160634358723959
ASFQ60,NA,76.66230637,11.29425705,36,1.0417499542236328,1.2153701782226562,-6.4009246826171875,11.329803466796875
ASFQ61,NA,76.5604073,11.28758052,37,1.1431341171264648,1.2325410842895508,-8.2599639892578125,27.155914306640625
ASFQ62,NA,76.57466976,11.28260159,38,1.1314701080322265,1.230681800842285,-7.640830993652344,25.522119140625
ASFQ63,NA,76.68860598,11.28023945,39,0.9230327606201172,1.1418895721435547,-5.671176910400391,0.6978912353515625
ASFQ65,NA,76.5677996,11.27151582,40,1.1398906707763672,1.2407960891723633,-7.827384948730469,25.785024007161457
ASFQ67,NA,76.58533724,11.26236515,41,1.1266326904296875,1.2361211776733398,-6.951210021972656,24.518585205078125
ASFQ68,NA,76.63119161,11.26118448,42,0.9911715189615885,1.1811485290527344,-5.855438232421875,7.3601430257161455
ASFQ71,NA,76.6220776,11.24818407,43,1.029248555501302,1.189634641011556,-5.778456370035808,13.734064737955729
ASFQ72,NA,76.57016125,11.24730361,44,1.1369752883911133,1.237386703491211,-7.306083679199219,26.610794067382812
ASFQ73,NA,76.54897909,11.24020778,45,1.1249309539794923,1.223586082458496,-7.554353332519531,26.240206909179687
ASFQ75,NA,76.62106899,11.23704596,46,1.039083480834961,1.1970396041870117,-5.6678924560546875,14.885482788085938
ASFQ76,NA,76.59274613,11.22619063,47,1.1123136520385741,1.2292003631591797,-5.9303642272949215,24.068685913085936
ASFQ77,NA,76.61020697,11.22592389,48,1.0933349132537842,1.2354156970977783,-5.676213264465332,19.640613555908203
ASFQ78,NA,76.64183528,11.21577952,49,0.9572868347167969,1.151713752746582,-5.34990234375,7.149435424804688
ASFQ8,NA,76.85221568,11.50484336,50,0.9530506134033203,1.1999759674072266,-8.363594055175781,-8.23895263671875
AVLC1,AVLC,76.603,11.302,51,1.07823912302653,1.2232580184936523,-6.774801890055339,15.945704142252604
AVLC2,AVLC,76.592,11.299,52,1.0958105087280274,1.2321399688720702,-6.946763610839843,17.8748291015625
BGOT1,BGOT,76.714,11.42,53,1.1606197357177734,1.2677068710327148,-10.156295776367188,23.392578125
BVLR1,BVLR,76.835,11.351,54,0.9268280029296875,1.1716819763183595,-7.107832336425782,-3.667572021484375
BVLR2,BVLR,76.84,11.343,55,0.8332283020019531,1.1641090393066407,-5.872650146484375,-22.005526733398437
CNRG1,CNRG,76.805,11.345,56,0.98752593994140625,1.1867637634277344,-7.620964050292969,5.8233489990234375
CNRG2,CNRG,76.79,11.339,57,0.9781049092610677,1.1938819885253906,-6.89065424601237,2.941502888997396
DDBT1,DDBT,76.73558,11.4015,58,1.1414375305175781,1.225351333618164,-10.222279866536459,27.699432373046875
EMVL1,EMVL,76.58027,11.35123,59,1.1273218790690105,1.2349764506022136,-8.475761413574219,21.82006327311198
EMVL2,EMVL,76.594,11.348,60,1.0834115346272786,1.2237424850463867,-7.137180328369141,15.173080444335938
FHEK1,FHEK,76.914,11.459,61,1.066719690958659,1.2320114771525066,-11.020464579264322,12.001032511393229
GDLR1,GDLR,76.51434,11.4872,62,0.8524322509765625,1.1327762603759766,-9.863990783691406,-23.746795654296875
GDLR2,GDLR,76.52622,11.49314,63,0.8587558746337891,1.1114303588867187,-10.270976257324218,-18.4230224609375
GVSL1,GVSL,76.64279,11.39221,64,1.1212608337402343,1.241297149658203,-7.972998809814453,19.35645751953125
HTHP1,HTHP,76.817,11.35,65,0.9884326934814454,1.1815910339355469,-8.21307373046875,6.835153198242187
KDND1,KDND,76.7,11.4667,66,1.052810287475586,1.2194257736206056,-8.944791412353515,7.654638671875
KJPN1,KJPN,76.932,11.359,67,0.7934177398681641,1.133324432373047,-6.175950622558593,-25.775933837890626
KJPN2,KJPN,76.921,11.358,68,0.7861270904541016,1.1212488810221355,-6.481934865315755,-24.872060139973957
KKTG1,KKTG,76.936,11.452,69,1.0346991221110027,1.2337188720703125,-9.127611796061197,6.005147298177083
KLHT1,KLHT,76.68286,11.460672,70,1.0684598286946614,1.2358099619547527,-8.260639190673828,7.8944651285807295
KMFD1,KMFD,76.896385,11.469283,71,1.0703659057617188,1.2519207000732422,-10.336570739746094,8.801727294921875
KMFD2,KMFD,76.91277,11.4477,72,1.0545578002929688,1.2360401153564453,-9.732109069824219,9.3744964599609375
KNSL1,KNSL,76.906,11.451,73,1.0646312713623047,1.2456958770751954,-9.800135803222656,9.50494384765625
KUKL1,KUKL,76.863,11.433,74,1.0551776885986328,1.227865219116211,-9.0264739990234375,10.526021321614584
KULR1,KULR,76.859,11.354,75,0.8074061075846354,1.123526891072591,-6.04360834757487,-20.59954833984375
KULR2,KULR,76.868,11.345,76,0.8393026987711588,1.190015157063802,-5.030948638916016,-29.266464233398438
LDNH2,LVDL,76.6962,11.36707,77,1.1127471923828125,1.2340011596679688,-9.167287190755209,20.72156270345052
LWSL1,LWSL,76.873,11.439,78,1.044080098470052,1.2144556045532227,-9.449577331542969,10.532633463541666
NDVT1,NDVT,76.549,11.488,79,0.9684327443440756,1.1622670491536458,-10.686075846354166,-3.5805765787760415
NDVT2,NDVT,76.548,11.478,80,1.0266927083333333,1.2014115651448567,-10.779375712076822,1.988983154296875
OTCM1,OTCM,76.696,11.412,81,1.1401739120483398,1.2559795379638672,-9.2844696044921875,21.127883911132812
OTCM2,OTCM,76.708,11.399,82,1.137514877319336,1.248467254638672,-9.311512756347657,22.56329345703125
OTCM3,OTCM,76.70851,11.38741,83,1.1245361963907878,1.2419541676839192,-8.895879109700521,21.420013427734375
RNMD1,RNMD,76.796,11.332,84,0.98688507080078125,1.214242935180664,-6.84243901570638,1.6802520751953125
RNMD2,RNMD,76.783,11.328,85,1.002876917521159,1.2185719807942708,-6.965395609537761,4.101826985677083
SMPK2,SMPK,76.799,11.356,86,1.0299110412597656,1.2182941436767578,-7.679293823242188,8.748049926757812
TMTE1,TMTE,76.705255,11.281124,87,0.95450592041015625,1.170632044474284,-6.1904856363932295,2.622095743815104
TSTE1,TSTE,76.61246,11.21223,88,1.024388313293457,1.1717987060546875,-5.6126708984375,16.651702880859375
WLTN1,WLTN,76.789,11.365,89,1.0375308990478516,1.2225850423177083,-7.222174326578776,9.097925821940104
WLTN2,WLTN,76.779,11.355,90,1.01861572265625,1.2060317993164062,-7.198467254638672,8.2648468017578125
WTCM1,WTCM,76.561,11.344,91,1.1561565399169922,1.2471857070922852,-9.535087585449219,25.525604248046875
WTCM2,WTCM,76.552,11.333,92,1.148814582824707,1.2433256149291991,-9.224493408203125,24.888897705078126
