catalogNumber,institutionCode,scientific_name,individualCount,year,month,day,locality,historical_site_code,decimalLatitude,decimalLongitude,collectedBy,coordinateUncertaintyInMeters,notes,common_name,species_code,order
1342,ZSI,Montecincla cachinnans,,1868,2,20,Ootacamund,OTCM,NA,NA,W T Blanford,,,Nilgiri Laughingthrush,NILA,Passeriformes
1343,ZSI,Montecincla cachinnans,,1868,2,20,Ootacamund,OTCM,NA,NA,W T Blanford,,,Nilgiri Laughingthrush,NILA,Passeriformes
1344,ZSI,Montecincla cachinnans,,1868,2,20,Ootacamund,OTCM,NA,NA,W T Blanford,,,Nilgiri Laughingthrush,NILA,Passeriformes
34245,NHM Tring,Montecincla cachinnans,1,1876,4,3,Ootacamund,OTCM,11.412053,76.702695,W Davison,2561,age class: adult; sex: female,Nilgiri Laughingthrush,NILA,Passeriformes
BIB11,JournalData,Monticola cinclorhyncha,X,1881,NA,NA,Coonoor,CNRG,NA,NA,W Davison,,,Blue-capped Rock-Thrush,BCRT,Passeriformes
BIB96,JournalData,Monticola cinclorhyncha,1,2002,12,31,Avalanche,AVLC,NA,NA,A A Zarri,,,Blue-capped Rock-Thrush,BCRT,Passeriformes
BIB96,JournalData,Monticola cinclorhyncha,1,2003,3,15,Avalanche,AVLC,NA,NA,A A Zarri,,,Blue-capped Rock-Thrush,BCRT,Passeriformes
BIB96,JournalData,Monticola cinclorhyncha,1,2003,3,30,Avalanche,AVLC,NA,NA,A A Zarri,,,Blue-capped Rock-Thrush,BCRT,Passeriformes
BIB96,JournalData,Monticola cinclorhyncha,1,1971,1,16,Ooty Botanical Garden,BGOT,NA,NA,Stairmand,,"Stairmand (1971b), Male",Blue-capped Rock-Thrush,BCRT,Passeriformes
BIB11,JournalData,Motacilla alba,X,1881,NA,NA,Coonoor Ghat,CNRG,NA,NA,W Davison,,,White Wagtail,WHWA,Passeriformes
242790,FMNH,Motacilla cinerea,,1937,2,20,Kunjapanai,KJPN,NA,NA,,,,Gray Wagtail,GREW,Passeriformes
BIB96,JournalData,Motacilla cinerea,1,2003,1,21,Avalanche,AVLC,NA,NA,A A Zarri,,,Gray Wagtail,GREW,Passeriformes
BIB92,JournalData,Motacilla cinerea,X,1943,10,NA,Lovedale,LVDL,NA,NA,M E Wolfe Murray,,,Gray Wagtail,GREW,Passeriformes
BIB96,JournalData,Motacilla cinerea,1,1944,9,2,Lovedale,LVDL,NA,NA,M E Wolfe Murray,,,Gray Wagtail,GREW,Passeriformes
180125,UMMZ,Motacilla cinerea,,1937,2,15,Ootacamund,OTCM,11.4,76.699997,W Koelz,,,Gray Wagtail,GREW,Passeriformes
BIB96,JournalData,Motacilla flava,1,2001,4,17,Avalanche,AVLC,NA,NA,A A Zarri,,,Western Yellow Wagtail,WYWA,Passeriformes
242135,FMNH,Muscicapa dauurica,,1937,2,20,Kunjapanai,KJPN,NA,NA,,,,Asian Brown Flycatcher,ABF,Passeriformes
BIB96,JournalData,Muscicapa dauurica,1,2002,10,2,Avalanche,AVLC,NA,NA,A A Zarri,,,Asian Brown Flycatcher,ABF,Passeriformes
BIB96,JournalData,Myophonus horsfieldii,1,1995,NA,NA,Governor Shola,GVSL,NA,NA,M V Nair,,Nair (1995),Malabar Whistling-Thrush,MWTH,Passeriformes
BIB96,JournalData,Myophonus horsfieldii,1,2002,4,25,Thiashola,TSTE,NA,NA,A A Zarri,,,Malabar Whistling-Thrush,MWTH,Passeriformes
BIB96,JournalData,Myophonus horsfieldii,1,2002,NA,NA,Thiashola,TSTE,NA,NA,A A Zarri,,,Malabar Whistling-Thrush,MWTH,Passeriformes
86.10.1.94,NHM Tring,Myophonus horsfieldii,,1867,8,24,Burliar,BVLR,NA,NA,,,Hume coll.,Malabar Whistling-Thrush,MWTH,Passeriformes
86.10.1.88,NHM Tring,Myophonus horsfieldii,,1881,1,27,Coonoor,CNRG,NA,NA,W Davison,,Hume coll.,Malabar Whistling-Thrush,MWTH,Passeriformes
86.10.1.92,NHM Tring,Myophonus horsfieldii,,1867,7,9,Coonoor,CNRG,NA,NA,W Davison,,Hume coll.,Malabar Whistling-Thrush,MWTH,Passeriformes
86.10.1.90,NHM Tring,Myophonus horsfieldii,,1881,1,28,Coonoor,CNRG,NA,NA,W Davison,,Hume coll.,Malabar Whistling-Thrush,MWTH,Passeriformes
86.10.1.93,NHM Tring,Myophonus horsfieldii,,1867,7,14,Coonoor,CNRG,NA,NA,W Davison,,Hume coll.,Malabar Whistling-Thrush,MWTH,Passeriformes
82.6.8.28,NHM Tring,Myophonus horsfieldii,,1882,3,3,Coonoor,CNRG,NA,NA,W Davison,,,Malabar Whistling-Thrush,MWTH,Passeriformes
86.10.1.89,NHM Tring,Myophonus horsfieldii,,1881,1,27,Coonoor,CNRG,NA,NA,W Davison,,Hume coll.,Malabar Whistling-Thrush,MWTH,Passeriformes
86.10.1.87,NHM Tring,Myophonus horsfieldii,,1881,1,27,Coonoor,CNRG,NA,NA,W Davison,,Hume coll.,Malabar Whistling-Thrush,MWTH,Passeriformes
86.10.1.91,NHM Tring,Myophonus horsfieldii,,1881,6,18,Coonoor,CNRG,NA,NA,W Davison,,Hume coll.,Malabar Whistling-Thrush,MWTH,Passeriformes
88.4.20.37,NHM Tring,Myophonus horsfieldii,,1876,9,24,Coonoor Ghat,CNRG,NA,NA,R G Wardlaw-Ramsay,,Tweedale coll.,Malabar Whistling-Thrush,MWTH,Passeriformes
88.4.20.38,NHM Tring,Myophonus horsfieldii,,1876,9,27,Coonoor Ghat,CNRG,NA,NA,R G Wardlaw-Ramsay,,Tweedale coll.,Malabar Whistling-Thrush,MWTH,Passeriformes
86.10.1.83,NHM Tring,Myophonus horsfieldii,,1881,5,25,Gudalur,GDLR,NA,NA,W Davison,,Hume coll.,Malabar Whistling-Thrush,MWTH,Passeriformes
,NHM Tring,Myophonus horsfieldii,,1918,6,24,Kil-Kotagiri,KKTG,NA,NA,P H G Gosse,,,Malabar Whistling-Thrush,MWTH,Passeriformes
86.10.1.7219,NHM Tring,Myophonus horsfieldii,,1881,3,12,Kotagiri,LWSL,NA,NA,W Davison,,Hume coll.,Malabar Whistling-Thrush,MWTH,Passeriformes
86.10.1.86,NHM Tring,Myophonus horsfieldii,,1877,6,13,Kotagiri,LWSL,NA,NA,,,Hume coll.,Malabar Whistling-Thrush,MWTH,Passeriformes
