scientific_name,common_name,species_code,eBird_codes
Scolopax rusticola,Eurasian Woodcock,NA,EUWO
Dendronanthus indicus,Forest Wagtail,NA,FOWA
Rubigula gularis,Flame-throated Bulbul,FTB,FTBU
Surniculus dicruroides,Fork-tailed Drongo-Cuckoo,NA,FTDC
Cacomantis passerinus,Gray-bellied Cuckoo,GBC,GBCU
Merops orientalis,Green Bee-eater,NA,GBEA
Prinia hodgsonii,Gray-breasted Prinia,GBP,GBPR
Treron affinis,Gray-fronted Green-Pigeon,NA,GFGP
Chloropsis aurifrons,Golden-fronted Leafbird,GFL,GFLE
Brachypodius priocephalus,Gray-Headed Bulbul,GHB,GHBU
Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,GHCF,GHCF
Centropus sinensis,Greater Coucal,GC,GRCO
Motacilla cinerea,Gray Wagtail,GWT,GREW
Chrysocolaptes guttacristatus,Greater Flameback,GF,GRFL
Buceros bicornis,Great Hornbill,GH,GRHO
Gallus sonneratii,Gray Junglefowl,GJ,GRJU
Phylloscopus nitidus,Green Warbler,GW,GRNW
Dicrurus paradiseus,Greater Racket-tailed Drongo,GRTD,GRTD
Phylloscopus trochiloides,Greenish Warbler,GNW,GRWA
Hirundo domicola,Hill Swallow,HSW,HISW
Corvus splendens,House Crow,HC,HOCR
Passer domesticus,House Sparrow,HS,HOSP
Larvivora brunnea,Indian Blue Robin,IBR,IBRO
Ocyceros birostris,Indian Gray Hornbill,NA,IGHO
Oriolus kundoo,Indian Golden Oriole,IGO,IGOR
Turdus simillimus,Indian Blackbird,IB,INBL
Cuculus micropterus,Indian Cuckoo,NA,INCU
Pavo cristatus,Indian Peafowl,IP,INPE
Pitta brachyura,Indian Pitta,IPT,INPI
Terpsiphone paradisi,Indian Paradise-Flycatcher,NA,IPFL
Ardeola grayii,Indian Pond Heron,IPH,IPHE
Pomatorhinus horsfieldii,Indian Scimitar-Babbler,ISB,ISBA
Zosterops palpebrosus,Indian White Eye,OWE,IWEY
Machlolophus aplonotus,Indian Yellow Tit,IYT,IYTI
Perdicula asiatica,Jungle Bush-Quail,NA,JBQU
Mirafra affinis,Jerdon's Bushlark,NA,JEBU
Caprimulgus atripennis,Jerdon's Nightjar,NA,JENI
Argya striata,Jungle Babbler,JB,JUBA
Acridotheres fuscus,Jungle Myna,JM,JUMY
Caprimulgus indicus,Jungle Nightjar,JN,JUNI
Prinia sylvatica,Jungle Prinia,JP,JUPR
Ficedula subrubra,Kashmir Flycatcher,KF,KAFL
Coracina macei,Large Cuckooshrike,LC,LACU
Corvus macrorhynchos,Large-billed Crow,LBC,LBCR
Phylloscopus magnirostris,Large-billed Leaf Warbler,LBLW,LBLW
Anthus similis,Long-billed Pipit,NA,LBPI
Picus chlorolophus,Lesser Yellownape,NA,LEYE
Argya malcolmi,Large Gray Babbler,NA,LGBA
Hierococcyx sparverioides,Large Hawk-Cuckoo,NA,LHCU
Microcarbo niger,Little Cormorant,LC,LICO
Apus affinis,Little Swift,LS,LISW
Cinnyris lotenius,Loten's Sunbird,NA,LOSU
Lanius schach,Long-tailed Shrike,LTS,LTSH
Psilopogon malabaricus,Malabar Barbet,MB,MABA
Galerida malabarica,Malabar Lark,ML,MALA
Psittacula columboides,Malabar Parakeet,MP,MAPA
Harpactes fasciatus,Malabar Trogon,NA,MATR
Tephrodornis sylvicola,Malabar Woodshrike,NA,MAWO
Myophonus horsfieldii,Malabar Whistling-Thrush,MWT,MWTH
Eumyias albicaudatus,Nilgiri Flycatcher,NF,NIFL
Dicaeum concolor,Nilgiri Flowerpecker,NFP,NIFP
Montecincla cachinnans,Nilgiri Laughingthrush,NLT,NILA
Anthus nilghiriensis,Nilgiri Pipit,NP,NIPI
Sholicola major,Nilgiri Sholakili,NS,NISH
Zoothera neilgherriensis,Nilgiri Thrush,NT,NITH
Columba elphinstonii,Nilgiri Wood-Pigeon,NWP,NWPI
Anthus hodgsoni,Olive-backed Pipit,NA,OBPI
Pernis ptilorhynchus,Oriental Honey-buzzard,OHB,OHBU
Geokichla citrina,Orange-headed Thrush,OHT,OHTH
Copsychus saularis,Oriental-Magpie Robin,OMR,OMRO
Pericrocotus flammeus,Orange Minivet,OM ,ORMI
Alauda gulgula,Oriental Skylark,NA,ORSK
Circus macrourus,Pallid Harrier,NA,PAHA
Anthus rufulus,Paddyfield Pipit,NA,PAPI
Galloperdix lunulata,Painted Spurfowl,NA,PASP
Dicaeum erythrorhynchos,Pale-Billed Flowerpecker,PBF,PBFL
Perdicula erythrorhyncha,Painted Bush Quail,PBQ,PBQU
Falco peregrinus,Peregrine Falcon,NA,PEFA
