scientific_name,common_name,species_code,eBird_codes,Habitat.type,Habitat.Specialization.SoIB2022,VKL.Habitat.Classification,Wet.Paddy.fields,Open.Areas,Groves.Gardens.and.Plantations,Habitation,Dry.Grassland,Hill.Grassland,Wet.Grassland,High.Altitude.Grassland,Reeds,Dry.Deciduous,Hill.Shrubland,Thorny.Scrub,Rocky.Scrub,Tropical.Rainforest,Bamboo.Forest,Shola.Forest,Moist.Deciduous,Subtropical.Montane.Forest,Mixed.Forest,Oak.Forest,Coniferous.Forest,Forest.Swamp,Short.Grass.Marshes,High.Shrubbery,High.Alpine,Inland.Water,Inland.Mudflats,Coastal.Mudflats,Beaches,Pelagic.Waters,Hot.Desert,Semi.Desert,Cold.Desert,Mangrove.Swamps,Salt.Pans,Lagoons,Rivers,High.Altitude.Lakes,Brackish.Backwaters,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Trophic.Level,Trophic.Niche,Primary.Lifestyle
Cinnyris lotenius,Loten's Sunbird,NA,LOSU,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,23.3,4,3.6,15.2,57,8.8,48.1,15.4,38.5,8.8,Omnivore,Nectarivore,Insessorial
Lanius schach,Long-tailed Shrike,LTS,LTSH,Grassland,None,Grassland,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,21.8,13.2,6.8,9.2,29.2,92.4,18.6,73.2,20.3,123.3,51.5,Carnivore,Invertivore,Insessorial
Psilopogon malabaricus,Malabar Barbet,MB,MABA,Forest,Tropical Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9,11.6,7.2,8.4,18.5,79.2,23,56.2,29,34.8,37.6,Omnivore,Frugivore,Insessorial
Galerida malabarica,Malabar Lark,ML,MALA,Grassland,Grassland,Grassland,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,11.5,4.9,5.4,22.1,93.6,27.3,66,29.2,53.2,38.2,Omnivore,Omnivore,Terrestrial
Psittacula columboides,Malabar Parakeet,MP,MAPA,Forest,Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,21.1,14.1,21.9,15.2,139,64.8,74.2,46.6,188.2,87,Herbivore,Omnivore,Insessorial
Harpactes fasciatus,Malabar Trogon,NA,MATR,Forest,Tropical Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2,10.9,9.6,9.5,14.3,121,46.7,74.8,38.4,141.8,62,Carnivore,Invertivore,Insessorial
Tephrodornis sylvicola,Malabar Woodshrike,NA,MAWO,Forest,Tropical Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6,16.2,6.2,7.3,19.1,112.9,19.5,93.4,17.3,83,37.8,Carnivore,Invertivore,Insessorial
Myophonus horsfieldii,Malabar Whistling-Thrush,MWT,MWTH,Forest,None,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,31.5,18.2,5.9,8.3,44.2,151.1,23.9,127.3,15.8,113.2,117,Carnivore,Aquatic predator,Terrestrial
Eumyias albicaudatus,Nilgiri Flycatcher,NF,NIFL,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9,7.3,4.2,3.6,18,75.4,10.9,62.8,14.8,66.8,16.4,Carnivore,Invertivore,Insessorial
Dicaeum concolor,Nilgiri Flowerpecker,NFP,NIFP,Forest,None,Forest,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,7.1,2.7,3,11.8,47.2,9.5,37.6,20.3,26.2,6.2,Herbivore,Omnivore,Insessorial
Montecincla cachinnans,Nilgiri Laughingthrush,NLT,NILA,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2,10.6,3.9,4.8,32.7,85.6,6.6,78.6,7.8,92.2,40.3,Omnivore,Invertivore,Insessorial
Anthus nilghiriensis,Nilgiri Pipit,NP,NIPI,Grassland,Grassland,Grassland,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,9.1,3.6,3.9,23.7,74.8,11.8,62.7,15.8,69.3,31,Carnivore,Invertivore,Terrestrial
Sholicola major,Nilgiri Sholakili,NS,NISH,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,9.3,4.1,4.1,26.1,76.8,9.5,67.5,12.3,63.2,38.5,Carnivore,Invertivore,Generalist
Zoothera neilgherriensis,Nilgiri Thrush,NT,NITH,Forest,Tropical Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8,20,5,7.6,28.4,128.8,33.5,95.2,26,89.5,134.1,Carnivore,Invertivore,Generalist
Columba elphinstonii,Nilgiri Wood-Pigeon,NWP,NWPI,Forest,Tropical Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6,12.2,4.9,5.8,26.9,207.6,70.6,138.2,33.8,151.5,379,Herbivore,Frugivore,Insessorial
Anthus hodgsoni,Olive-backed Pipit,NA,OBPI,Grassland,None,Grassland,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,7.9,3.4,3.4,20.2,81,20.8,59.5,25.9,58.4,21.3,Carnivore,Invertivore,Terrestrial
Pernis ptilorhynchus,Oriental Honey-buzzard,OHB,OHBU,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.9,21.4,13.1,15.4,49,413.6,130.7,278.6,32,263.8,1141.1,Carnivore,Invertivore,Insessorial
Geokichla citrina,Orange-headed Thrush,OHT,OHTH,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7,13.2,4.7,5.9,31.1,118.2,33.3,79.2,29.6,73.4,53.3,Omnivore,Omnivore,Generalist
Copsychus saularis,Oriental-Magpie Robin,OMR,OMRO,Generalist,None,Generalist,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2,15,5.4,5.8,29.5,97.5,18.7,79.2,19.1,84,36,Carnivore,Invertivore,Terrestrial
Pericrocotus flammeus,Orange Minivet,OM ,ORMI,Forest,Tropical Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,10.3,5.6,5.4,15.9,87.8,23.9,64,27.2,92,23.3,Carnivore,Invertivore,Insessorial
Alauda gulgula,Oriental Skylark,NA,ORSK,Grassland,None,Grassland,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,14.8,9.7,4.3,4.6,23.3,86.4,23.7,62.6,27.5,52.2,26.3,Omnivore,Omnivore,Terrestrial
Circus macrourus,Pallid Harrier,NA,PAHA,Grassland,Grassland,Grassland,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,15,9.7,12.7,68,351.2,185,168.4,52.4,226.6,384.4,Carnivore,Vertivore,Aerial
Anthus rufulus,Paddyfield Pipit,NA,PAPI,Grassland,Grassland,Grassland,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15,8.6,3.3,3.5,25.1,77.4,16.7,60.5,21.6,56.4,20.4,Carnivore,Invertivore,Terrestrial
Galloperdix lunulata,Painted Spurfowl,NA,PASP,Forest,Wooded Habitat,Rocky Mountains,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4,10.3,5.6,6.1,37.6,145.5,26.6,118.8,18.3,96.8,254.4,Herbivore,Omnivore,Terrestrial
Dicaeum erythrorhynchos,Pale-Billed Flowerpecker,PBF,PBFL,Generalist,None,Generalist,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,11.4,7.4,2.5,2.9,12.1,48.4,10.2,38.3,21,23.2,6.3,Herbivore,Frugivore,Insessorial
Perdicula erythrorhyncha,Painted Bush Quail,PBQ,PBQU,Grassland,Grassland and Scrub,Grassland,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,7.8,4.8,5.2,24.4,83.2,13.6,68.1,16.6,41.6,67.6,Herbivore,Granivore,Terrestrial
Falco peregrinus,Peregrine Falcon,NA,PEFA,Generalist,None,Generalist,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,31.1,18.4,13.7,15.4,45.1,314.7,165,152.6,52.2,143,760,Carnivore,Vertivore,Aerial
Psittacula cyanocephala,Plum-headed Parakeet,PHP,PHPA,Forest,Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.4,17.6,11.6,17.1,12.5,127.1,64.6,62.5,50.8,197.1,66,Herbivore,Frugivore,Insessorial
Saxicola caprata,Pied Bushchat,PBC,PIBU,Grassland,None,Grassland,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9,7.7,3.6,3.8,20.9,70.1,10.7,59.7,15.1,51.5,15.2,Carnivore,Invertivore,Insessorial
Clamator jacobinus,Pied Cuckoo,NA,PICU,Forest,None,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,24.7,15.6,6.8,7.9,28.7,145.2,50.6,92.9,35.2,160.8,79.4,Carnivore,Invertivore,Insessorial
Geokichla wardii,Pied Thrush,NA,PITH,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7,15.5,5,5.6,27.2,113.6,37.5,74.2,33.7,77,58.6,Omnivore,Invertivore,Generalist
Prinia inornata,Plain Prinia,NA,PLPR,Grassland,None,Grassland,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12.2,6.7,2.3,2.6,18.1,50.4,7.2,43.4,14.2,70.8,7,Carnivore,Invertivore,Generalist
Pellorneum ruficeps,Puff-throated Babbler,PTB,PTBA,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,9.7,3.1,4.2,25.8,69,6.2,65.1,8.6,66.4,26,Carnivore,Invertivore,Terrestrial
Cinnyris asiaticus,Purple Sunbird,PS,PUSU,Generalist,None,Generalist,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3,15,3.7,3.2,14.6,55,11.3,43.7,20.6,35.1,8.1,Omnivore,Omnivore,Insessorial
Coturnix coromandelica,Rain Quail,NA,RAQU,Grassland,Grassland,Grassland,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6,7,4.7,4.8,23.1,88.2,32,56.3,36.2,28.5,73.8,Herbivore,Granivore,Terrestrial
Lophotriorchis kienerii,Rufous-Bellied Eagle,RBE,RBEA,Forest,Tropical Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.1,20.5,11.9,17.2,53.5,366.2,127.6,227.5,35.9,216.3,799,Carnivore,Vertivore,Aerial
Ficedula parva,Red-breasted Flycatcher,NA,RBFL,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,6.5,3.5,2.9,15.4,67,17,50.1,25.3,52.8,10.8,Carnivore,Invertivore,Insessorial
Amandava amandava,Red Avadavat,RA,REAV,Grassland,Grassland and Scrub,Grassland,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,6.2,4.1,5.2,12.8,47.4,6.3,40.6,13.5,39.8,9,Herbivore,Granivore,Generalist
Galloperdix spadicea,Red Spurfowl,RS,RESP,Forest,Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,10.3,5.8,6,41.8,144.8,27.3,116.2,19,117.8,359.1,Herbivore,Omnivore,Terrestrial
Sarcogyps calvus,Red-headed Vulture,NA,RHVU,Forest,Forest,Grassland,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.5,46.9,23,33.9,115,570,252.8,322,44,229.2,4469.9,Scavenger,Scavenger,Terrestrial
Anthus richardi,Richard's Pipit,NA,RIPI,Grassland,Grassland,Grassland,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,11.3,4,4.3,29.2,92,26.6,64.3,29.3,71.6,32.2,Carnivore,Invertivore,Terrestrial
Columba livia,Rock Pigeon,RP,ROPI,Generalist,None,Generalist,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,23.2,12.1,4.3,5,26.5,219.6,98.8,120.4,45.1,105.5,354.2,Herbivore,Granivore,Terrestrial
Pastor roseus,Rosy Starling,NA,ROST,Generalist,None,Generalist,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,14.5,5.2,6.3,30.1,128.9,47.5,81.6,36.8,71,73,Omnivore,Omnivore,Insessorial
Psittacula krameri,Rose-Ringed Parakeet,RRP,RRPA,Generalist,None,Generalist,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4,22.7,14.4,20.8,13.8,155.8,75.3,82.2,47.7,215.2,116.1,Herbivore,Omnivore,Insessorial
Ficedula ruficauda,Rusty-tailed Flycatcher,NA,RTFL,Forest,Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,7.5,4,3.4,14.3,75.1,17.6,57.5,23.4,55.2,13.3,Carnivore,Invertivore,Insessorial
Argya subrufa,Rufous Babbler,RB,RUBA,Forest,None,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4,12.1,4.6,7.1,32.3,89.6,6.3,83.4,7,112.6,66.7,Carnivore,Invertivore,Generalist
Micropternus brachyurus,Rufous Woodpecker,NA,RUWO,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,19.4,7.5,7.9,20,118.2,20.9,96.2,17.9,66,85.9,Carnivore,Invertivore,Insessorial
Pycnonotus cafer,Red-vented Bulbul,RVB,RVBU,Generalist,None,Generalist,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4,10.5,4.8,5.3,21.3,94.5,15.7,78.8,16.5,86.2,42.9,Herbivore,Omnivore,Insessorial
Pycnonotus jocosus,Red-whiskered Bulbul,RWB,RWBU,Generalist,None,Generalist,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,9.1,4.5,4.8,20.5,86.8,12.4,74.8,14.2,88.1,29.5,Herbivore,Omnivore,Insessorial
Vanellus indicus,Red-wattled Lapwing,RWL,RWLA,Grassland,None,Grassland,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,34.7,19.1,5.3,5.4,74.2,208.8,90.6,119,43.2,104,181,Carnivore,Invertivore,Terrestrial
Rhipidura albogularis,Spot-breasted Fantail,NA,SBFA,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9,5.8,3.9,2.6,17.9,75.2,12.2,63,16.2,94.5,12.9,Carnivore,Invertivore,Insessorial
Lonchura punctulata,Scaly-breasted Munia,NA,SBMU,Generalist,None,Generalist,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,8.8,6.7,7.5,14,52.6,11.9,42.4,22,39,13.6,Herbivore,Granivore,Generalist
Accipiter badius,Shikra,SKR,SHIK,Generalist,None,Generalist,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6,12.1,8.8,11.6,43,186.7,62.5,127.4,32.9,140.6,131.2,Carnivore,Vertivore,Insessorial
Gracula indica,Southern Hill Myna,SHM,SHMY,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8,18.1,7.7,8.8,31.7,138.9,33.6,105.3,24.2,64.7,192,Herbivore,Frugivore,Insessorial
Taccocua leschenaultii,Sirkeer Malkoha,NA,SIMA,Forest,Scrub,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,31.6,16.4,6.8,11.4,39.5,163,18.7,147.8,11.2,240.1,174.7,Carnivore,Invertivore,Terrestrial
Pericrocotus cinnamomeus,Small Minivet,NA,SMMI,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,7,4,3.5,15.3,67.2,17.4,49.7,25.9,68.3,8.6,Carnivore,Invertivore,Insessorial
Streptopelia chinensis,Spotted Dove,SD,SPDO,Generalist,None,Generalist,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4,9.9,3.2,3.4,21.1,137.7,42.6,94.9,31,127.2,159,Herbivore,Granivore,Terrestrial
Picumnus innominatus,Speckled Piculet,NA,SPPI,Forest,Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,9.2,4.5,4.6,12,53.4,5.7,47.1,10.7,29.4,10.2,Carnivore,Invertivore,Insessorial
Hypsipetes ganeesa,Square-tailed Bulbul,STB,STBU,Forest,Wooded Habitat,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.9,16.1,5.2,5.8,17.9,116.2,27,89.2,23.3,99.5,51.8,Herbivore,Frugivore,Insessorial
Circaetus gallicus,Short-toed Snake-Eagle,NA,STSE,Grassland,Grassland and Scrub,Grassland,NA,NA,NA,NA,1,1,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,35,15.5,24.6,90.9,537,216.8,320.2,40.5,280.4,1699.1,Carnivore,Vertivore,Aerial
Picus xanthopygaeus,Streak-throated Woodpecker,STW,STWO,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,24.5,7.6,8.3,24.9,129.8,29,100.8,22.4,90.2,99.7,Carnivore,Invertivore,Generalist
Iduna rama,Sykes's Warbler,NA,SYWA,Forest,Wooded Habitat,Grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,17.8,8.7,3.1,2.6,18.5,60.6,11.2,49.9,18.3,52,9.3,Carnivore,Invertivore,Insessorial
