scientific_name,common_name,species_code,eBird_codes,Habitat.type,Habitat.Specialization.SoIB2022,VKL.Habitat.Classification,Wet.Paddy.fields,Open.Areas,Groves.Gardens.and.Plantations,Habitation,Dry.Grassland,Hill.Grassland,Wet.Grassland,High.Altitude.Grassland,Reeds,Dry.Deciduous,Hill.Shrubland,Thorny.Scrub,Rocky.Scrub,Tropical.Rainforest,Bamboo.Forest,Shola.Forest,Moist.Deciduous,Subtropical.Montane.Forest,Mixed.Forest,Oak.Forest,Coniferous.Forest,Forest.Swamp,Short.Grass.Marshes,High.Shrubbery,High.Alpine,Inland.Water,Inland.Mudflats,Coastal.Mudflats,Beaches,Pelagic.Waters,Hot.Desert,Semi.Desert,Cold.Desert,Mangrove.Swamps,Salt.Pans,Lagoons,Rivers,High.Altitude.Lakes,Brackish.Backwaters,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Trophic.Level,Trophic.Niche,Primary.Lifestyle
Dicrurus macrocercus,Black Drongo,BLD,BLDR,Grassland,Grassland and Scrub,Generalist,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4,15.4,8.4,8.4,22.2,141,39.2,101.2,27.8,145.6,48.3,Carnivore,Invertivore,Insessorial
Ictinaetus malaiensis,Black Eagle,BE,BLEA,Forest,Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.5,26.1,13.7,18.6,68.7,552.8,240.5,316.8,43.2,314.4,1028,Carnivore,Vertivore,Aerial
Milvus migrans,Black Kite,NA,BLKI,Generalist,None,Generalist,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,22.4,13,17.4,51.4,457.4,219.9,237.5,48.1,269.5,734.1,Omnivore,Omnivore,Aerial
Anthus godlewskii,Blyth's Pipit,NA,BLPI,Grassland,Grassland,Grassland,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,8.8,3.5,3.8,25.5,89.8,23.1,65.9,26,71.4,25.3,Carnivore,Invertivore,Terrestrial
Aquila fasciata,Bonelli's Eagle,NA,BNEA,Generalist,None,Generalist,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.7,28.9,16.2,23.7,93.2,486.8,181.8,305,37.3,260,1936.5,Carnivore,Vertivore,Aerial
Hypothymis azurea,Black-naped Monarch,BNM,BNMO,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,8.5,4.6,3.7,15.8,69.8,11.1,58.6,16,75.2,11.1,Carnivore,Invertivore,Insessorial
Oriolus chinensis,Black-naped Oriole,NA,BNOR,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,25.4,10.8,11.1,26.8,150.9,43.8,106.7,29.1,98.8,82.6,Omnivore,Frugivore,Insessorial
Hieraaetus pennatus,Booted Eagle,BTE,BOEA,Generalist,None,Generalist,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,33.8,19.1,10.1,17,65.3,361.8,151.3,209.1,42,198,823.8,Carnivore,Vertivore,Generalist
Dicrurus aeneus,Bronzed Drongo,BD,BRDR,Forest,Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6,13.3,7.6,6.1,16,116.9,34.4,82.5,29.4,84.6,26,Carnivore,Invertivore,Insessorial
Dinopium benghalense,Black-rumped Flameback,BRF,BRFL,Generalist,None,Generalist,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1,26.6,8.4,8.8,25.2,140.9,29.4,112.3,20.7,94.7,100,Carnivore,Invertivore,Insessorial
Haliastur indus,Brahminy Kite,NA,BRKI,Generalist,Wetland,Generalist,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,48.8,24.4,12.9,17,48.2,399.8,147,257.2,36.4,203.8,529,Carnivore,Omnivore,Generalist
Lanius cristatus,Brown Shrike,NA,BRSH,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3,11.6,6.2,7.9,23.8,85,22.5,62.2,26.6,79.9,32.2,Carnivore,Invertivore,Insessorial
Sturnia pagodarum,Brahminy Starling,NA,BRST,Generalist,None,Generalist,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9,12.3,4.7,5.1,27.1,99.8,27.2,72.6,27.3,62.5,48.9,Herbivore,Omnivore,Insessorial
Acrocephalus dumetorum,Blyth's Reed Warbler,BRW,BRWA,Generalist,None,Generalist,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,9.2,3.6,3.1,22.3,62.1,12.7,49.6,20.4,53.1,11.2,Carnivore,Invertivore,Insessorial
Merops philippinus,Blue-tailed Bee-eater,NA,BTBE,Grassland,Open Habitat,Grassland,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,42.1,33.8,7,7.4,13,129.5,26.6,104.2,20.3,106,34,Carnivore,Invertivore,Insessorial
Cyornis rubeculoides,Blue-throated Flycatcher,NA,BTFL,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,8.4,4.4,3.6,16.1,65.7,13.5,51.1,20.9,58.2,14.2,Carnivore,Invertivore,Insessorial
Lonchura kelaarti,Black-throated Munia,NA,BTMU,Generalist,None,Generalist,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6,9,7,7.7,14.4,54.2,13,41.2,24,38.6,14.1,Herbivore,Granivore,Insessorial
Hemipus picatus,Bar-winged Flycatcher-shrike,BWFS,BWFS,Forest,Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2,8.4,4.3,3.7,11.2,60.7,9.4,52,15.3,55.5,9,Carnivore,Invertivore,Insessorial
