scientific_name,common_name,species_code,eBird_codes,Habitat type,Habitat.Specialization.SoIB2022,Wet.Paddy.fields,Open.Areas,Groves.Gardens.and.Plantations,Habitation,Dry.Grassland,Hill.Grassland,Wet.Grassland,High.Altitude.Grassland,Reeds,Dry.Deciduous,Hill.Shrubland,Thorny.Scrub,Rocky.Scrub,Tropical.Rainforest,Bamboo.Forest,Shola.Forest,Moist.Deciduous,Subtropical.Montane.Forest,Mixed.Forest,Oak.Forest,Coniferous.Forest,Forest.Swamp,Short.Grass.Marshes,High.Shrubbery,High.Alpine,Inland.Water,Inland.Mudflats,Coastal.Mudflats,Beaches,Pelagic.Waters,Hot.Desert,Semi.Desert,Cold.Desert,Mangrove.Swamps,Salt.Pans,Lagoons,Rivers,High.Altitude.Lakes,Brackish.Backwaters
Hypothymis azurea,Black-naped Monarch,BNM,BNMO,Wooded Habitat,Wooded Habitat,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oriolus chinensis,Black-naped Oriole,NA,BNOR,Wooded Habitat,Wooded Habitat,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hieraaetus pennatus,Booted Eagle,BTE,BOEA,Wooded Habitat,None,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
Dicrurus aeneus,Bronzed Drongo,BD,BRDR,Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dinopium benghalense,Black-rumped Flameback,BRF,BRFL,Generalist,None,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haliastur indus,Brahminy Kite,NA,BRKI,Generalist,Wetland,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1
Lanius cristatus,Brown Shrike,NA,BRSH,Wooded Habitat,Wooded Habitat,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sturnia pagodarum,Brahminy Starling,NA,BRST,Generalist,None,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus dumetorum,Blyth's Reed Warbler,BRW,BRWA,Generalist,None,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merops philippinus,Blue-tailed Bee-eater,NA,BTBE,Grassland,Open Habitat,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1
