day,month,year,modern_site_code,historical_site_code,start_time,number,time_seg,HSF,notes,scientific_name,common_name,species_code,order,family
6,5,2021,KNSL1,KNSL,7:32,4,1,H,,Pycnonotus jocosus,Red-whiskered Bulbul,RWBU,Passeriformes,Pycnonotidae (Bulbuls)
6,5,2021,KNSL1,KNSL,7:32,2,1,S,,Pycnonotus jocosus,Red-whiskered Bulbul,RWBU,Passeriformes,Pycnonotidae (Bulbuls)
6,5,2021,KNSL1,KNSL,7:32,3,2,S,,Pycnonotus jocosus,Red-whiskered Bulbul,RWBU,Passeriformes,Pycnonotidae (Bulbuls)
31,12,2020,KNSL1,KNSL,8:25,1,1,S,,Rhipidura albogularis,Spot-breasted Fantail,SBFA,,
31,12,2020,KNSL1,KNSL,8:25,1,2,H,,Rhipidura albogularis,Spot-breasted Fantail,SBFA,,
15,3,2021,KNSL1,KNSL,7:19,1,2,H,,Rhipidura albogularis,Spot-breasted Fantail,SBFA,,
6,5,2021,KNSL1,KNSL,7:32,1,1,H,,Rhipidura albogularis,Spot-breasted Fantail,SBFA,,
31,12,2020,KNSL1,KNSL,8:25,1,2,H,,Streptopelia chinensis,Spotted Dove,SPDO,Columbiformes,Columbidae (Pigeons and Doves)
15,3,2021,KNSL1,KNSL,7:19,2,3,H,,Streptopelia chinensis,Spotted Dove,SPDO,Columbiformes,Columbidae (Pigeons and Doves)
6,5,2021,KNSL1,KNSL,7:32,1,3,H,,Loriculus vernalis,Vernal Hanging-Parrot,VHPA,Psittaciformes,Psittaculidae (Old World Parrots)
15,3,2021,KNSL1,KNSL,7:19,2,2,H,,Psilopogon viridis,White-cheeked Barbet,WCBA,Piciformes,Megalaimidae (Asian Barbets)
15,3,2021,KNSL1,KNSL,7:19,2,3,H,,Psilopogon viridis,White-cheeked Barbet,WCBA,Piciformes,Megalaimidae (Asian Barbets)
6,5,2021,KNSL1,KNSL,7:32,2,2,H,,Psilopogon viridis,White-cheeked Barbet,WCBA,Piciformes,Megalaimidae (Asian Barbets)
23,3,2021,KUKL1,KUKL,8:57,2,2,H,,Prinia socialis,Ashy Prinia,ASPR,Passeriformes,Cisticolidae (Cisticolas and Allies)
6,5,2021,KUKL1,KUKL,6:12,1,3,H,,Prinia socialis,Ashy Prinia,ASPR,Passeriformes,Cisticolidae (Cisticolas and Allies)
23,3,2021,KUKL1,KUKL,8:57,1,1,H,,Ficedula nigrorufa,Black-and-orange Flycatcher,BAOF,Passeriformes,Muscicapidae (Old World Flycatchers)
23,3,2021,KUKL1,KUKL,8:57,1,1,S,,Ficedula nigrorufa,Black-and-orange Flycatcher,BAOF,Passeriformes,Muscicapidae (Old World Flycatchers)
6,5,2021,KUKL1,KUKL,6:12,2,1,H,,Ficedula nigrorufa,Black-and-orange Flycatcher,BAOF,Passeriformes,Muscicapidae (Old World Flycatchers)
31,12,2020,KUKL1,KUKL,6:54,1,1,H,,Acrocephalus dumetorum,Blyth's Reed Warbler,BRWA,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
23,3,2021,KUKL1,KUKL,8:57,1,1,H,,Acrocephalus dumetorum,Blyth's Reed Warbler,BRWA,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
23,3,2021,KUKL1,KUKL,8:57,1,3,S,,Acrocephalus dumetorum,Blyth's Reed Warbler,BRWA,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
23,3,2021,KUKL1,KUKL,8:57,1,1,H,,Hemipus picatus,Bar-winged Flycatcher-shrike,BWFS,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)"
23,3,2021,KUKL1,KUKL,8:57,2,2,S,,Hemipus picatus,Bar-winged Flycatcher-shrike,BWFS,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)"
6,5,2021,KUKL1,KUKL,6:12,1,1,H,,Hemipus picatus,Bar-winged Flycatcher-shrike,BWFS,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)"
6,5,2021,KUKL1,KUKL,6:12,2,1,H,,Leptocoma minima,Crimson-backed Sunbird,CBSU,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters)
6,5,2021,KUKL1,KUKL,6:12,1,2,S,,Leptocoma minima,Crimson-backed Sunbird,CBSU,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters)
23,3,2021,KUKL1,KUKL,8:57,1,1,H,,Merops leschenaulti,Chestnut-headed Bee-eater,CHBE,Coraciiformes,Meropidae (Bee-eaters)
23,3,2021,KUKL1,KUKL,8:57,2,2,H,,Parus cinereus,Cinereous Tit,CITI,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
6,5,2021,KUKL1,KUKL,6:12,2,3,H,,Parus cinereus,Cinereous Tit,CITI,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
6,5,2021,KUKL1,KUKL,6:12,1,1,H,,Upupa epops,Eurasian Hoopoe,EUHO,Bucerotiformes,Upupidae (Hoopoes)
6,5,2021,KUKL1,KUKL,6:12,1,1,H,,Centropus sinensis,Greater Coucal,GRCO,Cuculiformes,Cuculidae (Cuckoos)
31,12,2020,KUKL1,KUKL,6:54,2,1,H,,Gallus sonneratii,Gray Junglefowl,GRJU,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
