season,climvar,forms,group,mae
rainy,t_mean,"value ~ s(elev, k = 3) + coast + lat",8,1.5785869432290398
rainy,t_mean,"value ~ s(elev, k = 3) + coast + lat",9,1.5233429419914888
rainy,t_mean,"value ~ s(elev, k = 3) + coast + lat",10,1.5706533532142666
rainy,t_mean,"value ~ s(elev, k = 3) + s(coast, lat, k = 5)",1,1.2425164279143013
rainy,t_mean,"value ~ s(elev, k = 3) + s(coast, lat, k = 5)",2,1.2915998200734464
rainy,t_mean,"value ~ s(elev, k = 3) + s(coast, lat, k = 5)",3,1.283906654540698
rainy,t_mean,"value ~ s(elev, k = 3) + s(coast, lat, k = 5)",4,1.2347087145090128
rainy,t_mean,"value ~ s(elev, k = 3) + s(coast, lat, k = 5)",5,1.3071688550631217
rainy,t_mean,"value ~ s(elev, k = 3) + s(coast, lat, k = 5)",6,1.3092527742306401
rainy,t_mean,"value ~ s(elev, k = 3) + s(coast, lat, k = 5)",7,1.2465174113909407
rainy,t_mean,"value ~ s(elev, k = 3) + s(coast, lat, k = 5)",8,1.2695034944454833
rainy,t_mean,"value ~ s(elev, k = 3) + s(coast, lat, k = 5)",9,1.2315631640275329
rainy,t_mean,"value ~ s(elev, k = 3) + s(coast, lat, k = 5)",10,1.2636245469649667
