x,y,month,year,season,ppt,t_mean,t_sd
77.75,10.25,12,2004,dry,4.5600000000000005,22.464903225806452,0.5894203002294547
77.75,10.25,12,2005,dry,160.87,22.48483870967742,0.845972304384101
77.75,10.25,12,2006,dry,6.14,22.704806451612903,0.694305524456145
77.75,10.25,12,2007,dry,267.92,22.475193548387097,0.5791000155042212
77.75,10.25,12,2008,dry,38.05,22.734870967741934,0.749929674122202
77.75,10.25,12,2009,dry,52.4,23.01967741935484,0.4778265645675754
77.75,10.25,12,2010,dry,107.83,22.72025806451613,0.7131092000407762
77.75,10.25,12,2011,dry,73.41,22.804806451612905,0.5583757647173238
77.75,10.25,12,2012,dry,3.5900000000000003,23.394903225806452,0.3779038109394781
77.75,10.25,12,2013,dry,39.36,22.610209677419356,0.9385627023468165
77.75,10.25,12,2014,dry,45.11,23.024790322580646,0.5519087601858592
77.75,10.25,12,2015,dry,68.38066,23.485306451612903,0.5163688874796672
77.75,10.25,12,2016,dry,50.19,22.954725806451613,0.7027156233582882
77.75,10.25,12,2017,dry,18.77,22.739193548387096,0.6022846735199138
77.75,10.25,12,2018,dry,25.96,21.11725806451613,0.5091559006657937
77.75,11.75,1,1870,dry,3.92997,22.725564516129033,0.4759966341256256
77.75,11.75,1,1871,dry,0,22.67682258064516,0.29662809342078794
77.75,11.75,1,1872,dry,0,22.298129032258064,0.448247903280873
77.75,11.75,1,1873,dry,0,22.498193548387096,0.5172509010370654
77.75,11.75,1,1874,dry,0,22.792532258064515,0.4218459816782239
77.75,11.75,1,1875,dry,0,22.899596774193547,0.7152153221158285
77.75,11.75,1,1876,dry,0,23.31508064516129,0.3050979923667747
77.75,11.75,1,1877,dry,0,23.744935483870968,0.6241843710253072
77.75,11.75,1,1878,dry,0,24.294806451612903,0.3283369630278057
77.75,11.75,1,1879,dry,57.1,23.300016129032258,0.4800127686473723
77.75,11.75,1,1880,dry,18.44,22.609774193548386,0.7306590043550828
77.75,11.75,1,1881,dry,0,23.05475806451613,0.5703914426509764
77.75,11.75,1,1882,dry,66.8997,23.51975806451613,0.5980103660050236
77.75,11.75,1,1883,dry,0,23.01472580645161,1.211243540324775
77.75,11.75,1,1884,dry,6.4900574,21.889709677419354,0.8000093413433116
77.75,11.75,1,1885,dry,0,23.11490322580645,0.31598727346088945
77.75,11.75,1,1886,dry,9.33002,22.78008064516129,0.6318608377479723
77.75,11.75,1,1887,dry,0,22.950129032258065,0.37479263083608305
77.75,11.75,1,1888,dry,0,22.785016129032257,1.017109757137604
77.75,11.75,1,1889,dry,9.3499868,23.480016129032258,0.5264794311251388
77.75,11.75,1,1890,dry,21.28004,22.59524193548387,0.9466228030122642
77.75,11.75,1,1891,dry,13.48,22.890209677419353,0.5542682379226619
77.75,11.75,1,1892,dry,0,23.189806451612903,0.46843551099056235
77.75,11.75,1,1893,dry,0,22.88509677419355,0.7446271709089816
77.75,11.75,1,1894,dry,0,23.17967741935484,0.5094669362576778
77.75,11.75,1,1895,dry,0,23.30982258064516,0.4773781441091731
77.75,11.75,1,1896,dry,0,22.860290322580646,0.422652275797208
77.75,11.75,1,1897,dry,0,23.990193548387097,0.5990257322995305
77.75,11.75,1,1898,dry,0,22.89977419354839,0.40565286552892477
77.75,11.75,1,1899,dry,0,22.734887096774195,0.7277492552346748
77.75,11.75,1,1900,dry,38.370343,23.694822580645162,0.9451639500494703
77.75,11.75,1,1901,dry,6.3,24.21990322580645,0.3323897666734753
77.75,11.75,1,1902,dry,15.85,23.67967741935484,0.6422342971790893
77.75,11.75,1,1903,dry,0.43,23.890064516129033,0.8463083337052308
77.75,11.75,1,1904,dry,12.61,23.005,0.31243399302892755
77.75,11.75,1,1905,dry,5.05,22.74025806451613,0.6271520797883046
77.75,11.75,1,1906,dry,14.81,23.549870967741935,0.615920327203418
77.75,11.75,1,1907,dry,1.73,23.225387096774192,0.6075927735701141
77.75,11.75,1,1908,dry,0.58,23.02493548387097,0.7796042558240206
77.75,11.75,1,1909,dry,95.27,23.28508064516129,0.6391646514106543
77.75,11.75,1,1910,dry,1.76,23.250129032258066,0.4082844385911605
77.75,11.75,1,1911,dry,0,22.745322580645162,0.8568040766747385
77.75,11.75,1,1912,dry,0.34,22.660064516129033,0.7374366384299904
77.75,11.75,1,1913,dry,0,22.25501612903226,0.6100045830957743
77.75,11.75,1,1914,dry,1.6,22.99001612903226,0.6339497283417006
77.75,11.75,1,1915,dry,22.990000000000002,23.210322580645162,0.5660431895828429
77.75,11.75,1,1916,dry,0,22.995,0.6379563725940303
77.75,11.75,1,1917,dry,4.15,22.619854838709678,0.5186018735270882
77.75,11.75,1,1918,dry,24.51,22.71991935483871,0.6547389695745697
77.75,11.75,1,1919,dry,10.44,23.825193548387098,0.6787256401696167
77.75,11.75,1,1920,dry,60.27,23.46483870967742,1.0918649823970665
77.75,11.75,1,1921,dry,67.39,23.529870967741935,0.7112274714386613
77.75,11.75,1,1922,dry,18.81,23.320177419354838,0.6168156605824672
77.75,11.75,1,1923,dry,23.47,22.99482258064516,0.9019117986106613
77.75,11.75,1,1924,dry,11.1,23.305209677419356,0.6901629852698269
77.75,11.75,1,1925,dry,2.26,22.510290322580644,0.6389548337479671
77.75,11.75,1,1926,dry,63.9,23.490129032258064,0.8500359891179309
77.75,11.75,1,1927,dry,2.15,23.530112903225806,0.42744080895638675
77.75,11.75,1,1928,dry,4.3500000000000005,23.729951612903225,0.6443125452092163
77.75,11.75,1,1929,dry,10.09,23.435435483870968,0.5545188265805393
77.75,11.75,1,1930,dry,11.2,23.605096774193548,0.5740684834198041
77.75,11.75,1,1931,dry,1.81,23.784612903225806,0.32687252126982136
77.75,11.75,1,1932,dry,0,23.034935483870967,0.7498885221810807
77.75,11.75,1,1933,dry,0.03,23.505225806451612,0.8847613128099359
77.75,11.75,1,1934,dry,38.24,23.485112903225808,0.4546764180835532
77.75,11.75,1,1935,dry,27.729999999999997,23.365241935483873,0.7761634693689183
77.75,11.75,1,1936,dry,0,23.895,0.5021487163513749
77.75,11.75,1,1937,dry,2.5100000000000002,23.58467741935484,0.7401541905619746
77.75,11.75,1,1938,dry,0.49,23.929693548387096,0.646798650758995
77.75,11.75,1,1939,dry,13.200000000000001,23.170274193548387,0.7991407347761061
77.75,11.75,1,1940,dry,0.3,22.58025806451613,0.7677790900921929
77.75,11.75,1,1941,dry,7.88,23.895306451612903,0.6075800314556559
77.75,11.75,1,1942,dry,0,23.615354838709678,0.8025529493803757
77.75,11.75,1,1943,dry,74.67999999999999,24.23982258064516,0.34651824262673153
77.75,11.75,1,1944,dry,9.8,23.64491935483871,1.0527146423792018
77.75,11.75,1,1945,dry,1.18,23.32024193548387,0.8804855087863717
