"nbsp" "sing.sp" "FRic" "qual.FRic" "FEve" "FDiv" "FDis" "RaoQ" "Year"
"19" 67 67 0.953784915154511 1 0.50287006428413 0.708351915722328 2.11448997539937 5.68003142555597 "1850"
"20" 62 62 0.493577337968981 1 0.44985188755203 0.797891211791059 2.73617208160946 9.9668531255179 "2021"
"21" 67 67 0.998610745461397 1 0.624051755175907 0.753791814579516 2.57824025648661 8.38680915440981 "1850"
"22" 62 62 0.959803270352784 1 0.472509339044556 0.677218283026684 2.77644973336905 11.2681181785176 "2021"
"23" 67 67 0.963318546544514 1 0.531592254115328 0.677870133725617 2.19763876108132 6.01278798798425 "1850"
"24" 62 62 0.321027942212068 1 0.443470115105131 0.767151041569531 2.85742954139772 10.0818718765383 "2021"
"25" 67 67 0.977947137922241 1 0.583454367851271 0.732009883872335 2.59785269438388 9.16527692077999 "1850"
"26" 62 62 0.713957561355898 1 0.520041551409177 0.756769062470249 3.04289636434861 12.6191578599204 "2021"
"27" 67 67 0.998024191635048 1 0.668750623683565 0.722634953073509 2.72375822504421 9.5346536813697 "1850"
"28" 62 62 0.704574380039133 1 0.40435637913664 0.780770931893972 2.62720306561985 8.95723409492237 "2021"
"29" 67 67 1 1 0.592484325610064 0.725980769034518 2.5653259122639 8.215078606633 "1850"
"30" 62 62 0.507216959868563 1 0.538394716107577 0.742854842334623 2.5115812435177 7.78642337859293 "2021"
"31" 67 67 0.993224323807338 1 0.663970898303672 0.75038343298561 2.70466791138034 9.74690904127297 "1850"
"32" 62 62 0.648273984309067 1 0.479044666593395 0.807322744787013 2.71484927924374 9.27168118606163 "2021"
"33" 67 67 0.990435582191558 1 0.646186737913046 0.691914934953699 2.39805991451507 7.60919247117982 "1850"
"34" 62 62 0.699591967504147 1 0.590571574101792 0.76311126031072 2.78447936877775 10.1243287419118 "2021"
"35" 67 67 0.953784915154511 1 0.626977669839098 0.73220806218965 2.57537537533815 8.91282484743878 "1850"
"36" 62 62 0.924085842947664 1 0.415219705114054 0.755600275294874 2.67903748205423 9.62140632714232 "2021"
"37" 67 67 0.815565680178565 1 0.687827792489647 0.765334620478445 2.81907367281866 10.0902953955115 "1850"
"38" 62 62 0.663485776276308 1 0.473424428633921 0.704165799605368 2.32157653820962 7.34579220591291 "2021"
"39" 67 67 0.990653629676281 1 0.551897769153125 0.679375104225954 2.38317051379116 7.6980547925927 "1850"
"40" 62 62 0.93809867617534 1 0.508296885000081 0.709359276856903 2.76050486248353 10.4997890888364 "2021"
"41" 67 67 0.999996274078249 1 0.513932649207884 0.706026976092714 2.27116260480203 6.12405349889647 "1850"
"42" 62 62 0.670092372687301 1 0.443261952163167 0.765505869511618 3.13096829665162 13.2572946950513 "2021"
"43" 67 67 0.999999999999998 1 0.633037206307018 0.718848456379638 2.7018044733525 9.37505371297383 "1850"
"44" 62 62 0.93202417560883 1 0.547215227159727 0.70969298696347 2.58146769090851 9.33073278231326 "2021"
"45" 67 67 0.998610745461397 1 0.595029774960069 0.714529599901201 2.70765575335852 10.046997719174 "1850"
"46" 62 62 0.607813101108412 1 0.449539388216797 0.794114183041087 2.82365540984575 9.07693683952477 "2021"
"47" 67 67 0.999519482865444 1 0.671278321627413 0.778398502355368 2.71697626706612 8.92756813067726 "1850"
"48" 62 62 0.821376230931184 1 0.505160493613931 0.695090242348013 2.53700071553271 8.98540343037628 "2021"
"49" 67 67 0.986078059604971 1 0.626827099848607 0.771899666883441 2.74239682405238 9.7764832661411 "1850"
"50" 62 62 0.844284274797866 1 0.408672562722869 0.73856985938517 2.67796936951851 9.03474708316879 "2021"
"51" 67 67 1 1 0.64805548889323 0.734977922516687 2.6422553042857 9.32038356449322 "1850"
"52" 62 62 0.87143621689074 1 0.482080474613613 0.643779982990423 2.5375223713534 9.3050442948656 "2021"
"53" 67 67 0.98610722438592 1 0.7075462894171 0.79200581900866 2.75204312056959 9.08394097496133 "1850"
"54" 62 62 0.465692768922286 1 0.537269491929277 0.68960112141229 2.55122633202925 9.18565331353473 "2021"
"55" 67 67 1 1 0.586553752443017 0.681749687177226 2.24755170206817 6.89405309332291 "1850"
"56" 62 62 0.656209179227167 1 0.438552760262614 0.73582876076134 2.48215868683157 7.74039097041147 "2021"
"57" 67 67 0.998610745461397 1 0.598320886795765 0.666974654099543 2.40256233813363 7.53126270061533 "1850"
"58" 62 62 0.718675636649706 1 0.527161246870237 0.716698374656371 2.31663616393296 7.97292405928222 "2021"
