"catalogNumber","institutionCode","scientific_name","individualCount","year","month","day","locality","historical_site_code","decimalLatitude","decimalLongitude","collectedBy","coordinateUncertaintyInMeters","notes","common_name","species_code","order"
"87.7.1.2543","NHM Tring","Amandava amandava","",1881,2,5,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Red Avadavat","REAV","Passeriformes"
"87.7.1.2544","NHM Tring","Amandava amandava","",1881,2,7,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Red Avadavat","REAV","Passeriformes"
"87.7.1.2541","NHM Tring","Amandava amandava","",1876,4,5,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Red Avadavat","REAV","Passeriformes"
"87.7.1.2542","NHM Tring","Amandava amandava","",1876,4,4,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Red Avadavat","REAV","Passeriformes"
"87.7.1.2535","NHM Tring","Amandava amandava","",1881,1,23,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Red Avadavat","REAV","Passeriformes"
"87.7.1.2536","NHM Tring","Amandava amandava","",1876,4,19,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Red Avadavat","REAV","Passeriformes"
"1386","NHM Tring","Amandava amandava","",1876,4,20,"Ootacamund","OTCM",11.411611,76.695193,"","3305","","Red Avadavat","REAV","Passeriformes"
"SKIN-571004","AMNH","Anthus nilghiriensis","",1883,1,20,"Ootacamund","OTCM",NA,NA,"W Davison","","","Nilgiri Pipit","NIPI","Passeriformes"
"SKIN-571005","AMNH","Anthus nilghiriensis","",1883,2,2,"Ootacamund","OTCM",NA,NA,"W Davison","","","Nilgiri Pipit","NIPI","Passeriformes"
" 87.2.1.2780","NHM Tring","Anthus nilghiriensis","",1876,4,9,"Coonoor","CNRG",NA,NA,"W Davison","","","Nilgiri Pipit","NIPI","Passeriformes"
" 87.2.1.2781","NHM Tring","Anthus nilghiriensis","",1881,3,8,"Coonoor","CNRG",NA,NA,"W Davison","","","Nilgiri Pipit","NIPI","Passeriformes"
" 87.2.1.2783","NHM Tring","Anthus nilghiriensis","",1874,7,15,"Kotagiri","LWSL",NA,NA,"M Cockburn","","","Nilgiri Pipit","NIPI","Passeriformes"
" 87.2.1.2784","NHM Tring","Anthus nilghiriensis","",1870,8,19,"Kotagiri","LWSL",NA,NA,"M Cockburn","","","Nilgiri Pipit","NIPI","Passeriformes"
" 87.2.1.2785","NHM Tring","Anthus nilghiriensis","",1874,9,15,"Kotagiri","LWSL",NA,NA,"M Cockburn","","Hume coll.","Nilgiri Pipit","NIPI","Passeriformes"
" 87.2.1.2799","NHM Tring","Anthus nilghiriensis","",1881,3,24,"Naduvattum","NDVT",NA,NA,"W Davison","","","Nilgiri Pipit","NIPI","Passeriformes"
" 87.2.1.2800","NHM Tring","Anthus nilghiriensis","",1881,3,26,"Naduvattum","NDVT",NA,NA,"W Davison","","Hume coll.","Nilgiri Pipit","NIPI","Passeriformes"
" 87.2.1.2801","NHM Tring","Anthus nilghiriensis","",1881,5,26,"Naduvattum","NDVT",NA,NA,"W Davison","","","Nilgiri Pipit","NIPI","Passeriformes"
" 1925.12.23.462","NHM Tring","Anthus nilghiriensis","",1894,7,27,"Ootacamund","OTCM",NA,NA,"J Davidson","","","Nilgiri Pipit","NIPI","Passeriformes"
"83.8.1.1","NHM Tring","Anthus nilghiriensis","",1883,3,5,"Ootacamund","OTCM",NA,NA,"W Davison","","","Nilgiri Pipit","NIPI","Passeriformes"
" 83.8.1.2","NHM Tring","Anthus nilghiriensis","",1883,2,12,"Ootacamund","OTCM",NA,NA,"W Davison","","","Nilgiri Pipit","NIPI","Passeriformes"
" 83.8.1.3","NHM Tring","Anthus nilghiriensis","",1883,1,20,"Ootacamund","OTCM",NA,NA,"W Davison","","","Nilgiri Pipit","NIPI","Passeriformes"
" 87.2.1.2786","NHM Tring","Anthus nilghiriensis","",1881,1,8,"Ootacamund","OTCM",NA,NA,"W Davison","","","Nilgiri Pipit","NIPI","Passeriformes"
" 87.2.1.2788","NHM Tring","Anthus nilghiriensis","",1881,1,14,"Ootacamund","OTCM",NA,NA,"W Davison","","","Nilgiri Pipit","NIPI","Passeriformes"
" 87.2.1.2787","NHM Tring","Anthus nilghiriensis","",1881,1,14,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Nilgiri Pipit","NIPI","Passeriformes"
" 87.2.1.2789","NHM Tring","Anthus nilghiriensis","",1881,1,14,"Ootacamund","OTCM",NA,NA,"W Davison","","","Nilgiri Pipit","NIPI","Passeriformes"
" 87.2.1.2790","NHM Tring","Anthus nilghiriensis","",1881,1,8,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Nilgiri Pipit","NIPI","Passeriformes"
" 87.2.1.2791","NHM Tring","Anthus nilghiriensis","",1881,2,12,"Ootacamund","OTCM",NA,NA,"W Davison","","","Nilgiri Pipit","NIPI","Passeriformes"
" 87.2.1.2792","NHM Tring","Anthus nilghiriensis","",1881,2,12,"Ootacamund","OTCM",NA,NA,"W Davison","","","Nilgiri Pipit","NIPI","Passeriformes"
" 87.2.1.2793","NHM Tring","Anthus nilghiriensis","",1881,3,7,"Ootacamund","OTCM",NA,NA,"W Davison","","","Nilgiri Pipit","NIPI","Passeriformes"
" 87.2.1.2794","NHM Tring","Anthus nilghiriensis","",1881,3,15,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Nilgiri Pipit","NIPI","Passeriformes"
" 87.2.1.2795","NHM Tring","Anthus nilghiriensis","",1881,3,5,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Nilgiri Pipit","NIPI","Passeriformes"
" 87.2.1.2796","NHM Tring","Anthus nilghiriensis","",1881,3,5,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Nilgiri Pipit","NIPI","Passeriformes"
" 87.2.1.2797","NHM Tring","Anthus nilghiriensis","",1881,5,27,"Ootacamund","OTCM",NA,NA,"W Davison","","","Nilgiri Pipit","NIPI","Passeriformes"
" 87.2.1.2798","NHM Tring","Anthus nilghiriensis","",1881,5,27,"Ootacamund","OTCM",NA,NA,"W Davison","","","Nilgiri Pipit","NIPI","Passeriformes"
"2014","ZSI","Anthus nilghiriensis","",1867,1,17,"Ootacamund","OTCM",NA,NA,"W T Blanford","","","Nilgiri Pipit","NIPI","Passeriformes"
"2013","ZSI","Anthus nilghiriensis","",1867,1,17,"Ootacamund","OTCM",NA,NA,"","","","Nilgiri Pipit","NIPI","Passeriformes"
"33959","NHM Tring","Anthus nilghiriensis","1",1881,3,14,"Ootacamund","OTCM",11.4,76.7,"W Davison","","","Nilgiri Pipit","NIPI","Passeriformes"
"BIB11","JournalData","Chalcophaps indica","X",1881,NA,NA,"Coonoor","CNRG",NA,NA,"W Davison","","","Asian Emerald Dove","AEDO","Columbiformes"
"BIB11","JournalData","Chalcophaps indica","X",1881,NA,NA,"Naduvattum","NDVT",NA,NA,"W Davison","","","Asian Emerald Dove","AEDO","Columbiformes"
"89.2.10.728","NHM Tring","Chalcophaps indica","",1878,4,NA,"Burliar","BVLR",NA,NA,"R G Wardlaw-Ramsay","","Tweedale coll.","Asian Emerald Dove","AEDO","Columbiformes"
"89.2.2.837","NHM Tring","Chalcophaps indica","",1867,10,6,"Burliar","BVLR",NA,NA,"","","Hume coll.","Asian Emerald Dove","AEDO","Columbiformes"
"89.2.2.836","NHM Tring","Chalcophaps indica","",1867,10,4,"Burliar","BVLR",NA,NA,"","","Hume coll.","Asian Emerald Dove","AEDO","Columbiformes"
"BIB11","JournalData","Chloropsis aurifrons","X",1881,NA,NA,"Naduvattum","NDVT",NA,NA,"W Davison","","","Golden-fronted Leafbird","GFLE","Passeriformes"
"86.9.1.615","NHM Tring","Chloropsis aurifrons","",1867,11,3,"Burliar","BVLR",NA,NA,"","","Hume coll.","Golden-fronted Leafbird","GFLE","Passeriformes"
"86.9.1.614","NHM Tring","Chloropsis aurifrons","",1867,9,11,"Burliar","BVLR",NA,NA,"","","Hume coll.","Golden-fronted Leafbird","GFLE","Passeriformes"
"81.5.1.1204","NHM Tring","Chloropsis aurifrons","",1867,7,9,"Coonoor","CNRG",NA,NA,"","","","Golden-fronted Leafbird","GFLE","Passeriformes"
"88.4.1.148","NHM Tring","Chloropsis aurifrons","",1872,4,NA,"Coonoor Ghat","CNRG",NA,NA,"R G Wardlaw-Ramsay","","Tweedale coll.","Golden-fronted Leafbird","GFLE","Passeriformes"
"88.4.1.147","NHM Tring","Chloropsis aurifrons","",1872,4,NA,"Coonoor Ghat","CNRG",NA,NA,"R G Wardlaw-Ramsay","","Tweedale coll.","Golden-fronted Leafbird","GFLE","Passeriformes"
"84.7.28.53","NHM Tring","Chloropsis aurifrons","",1883,4,7,"Coonoor Ghat","CNRG",NA,NA,"W Davison","","","Golden-fronted Leafbird","GFLE","Passeriformes"
"86.9.1.611","NHM Tring","Chloropsis aurifrons","",1874,7,10,"Kullar","KULR",NA,NA,"M Cockburn","","Hume coll.","Golden-fronted Leafbird","GFLE","Passeriformes"
"86.9.1.612","NHM Tring","Chloropsis aurifrons","",1867,10,11,"Kullar","KULR",NA,NA,"","","Hume coll.","Golden-fronted Leafbird","GFLE","Passeriformes"
"","NHM Tring","Chrysocolaptes guttacristatus","",1881,10,28,"Coonoor","CNRG",NA,NA,"W Davison","","","Greater Flameback","GRFL","Piciformes"
"","NHM Tring","Chrysocolaptes guttacristatus","",1881,4,4,"Coonoor","CNRG",NA,NA,"W Davison","","","Greater Flameback","GRFL","Piciformes"
"87.8.10.964","NHM Tring","Chrysocolaptes guttacristatus","",1881,1,31,"Coonoor","CNRG",NA,NA,"W Davison","","Hume coll.","Greater Flameback","GRFL","Piciformes"
"88.11.1.1003","NHM Tring","Chrysocolaptes guttacristatus","",1869,5,17,"Coonoor Ghat","CNRG",NA,NA,"G M Slaughter","","Tweedale coll.","Greater Flameback","GRFL","Piciformes"
"88.11.1.1004","NHM Tring","Chrysocolaptes guttacristatus","",1876,9,30,"Coonoor Ghat","CNRG",NA,NA,"R G Wardlaw-Ramsay","","Tweedale coll.","Greater Flameback","GRFL","Piciformes"
"87.8.10.965","NHM Tring","Chrysocolaptes guttacristatus","",1881,1,25,"Coonoor Ghat","CNRG",NA,NA,"W Davison","","Hume coll.","Greater Flameback","GRFL","Piciformes"
"87.8.10.933","NHM Tring","Chrysocolaptes guttacristatus","",1875,1,12,"Kotagiri","LWSL",NA,NA,"M Cockburn","","Hume coll.","Greater Flameback","GRFL","Piciformes"
"87.8.10.966","NHM Tring","Chrysocolaptes guttacristatus","",1881,3,11,"Kotagiri","LWSL",NA,NA,"W Davison","","Hume coll.","Greater Flameback","GRFL","Piciformes"
"87.8.10.931","NHM Tring","Chrysocolaptes guttacristatus","",1876,4,18,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Greater Flameback","GRFL","Piciformes"
"87.8.10.930","NHM Tring","Chrysocolaptes guttacristatus","",1867,9,14,"Ootacamund","OTCM",NA,NA,"","","Hume coll.","Greater Flameback","GRFL","Piciformes"
"87.8.10.926","NHM Tring","Chrysocolaptes guttacristatus","",1867,9,14,"Ootacamund","OTCM",NA,NA,"","","Hume coll.","Greater Flameback","GRFL","Piciformes"
"87.8.10.928","NHM Tring","Chrysocolaptes guttacristatus","",1867,9,14,"Ootacamund","OTCM",NA,NA,"","","Hume coll.","Greater Flameback","GRFL","Piciformes"
"87.8.10.927","NHM Tring","Chrysocolaptes guttacristatus","",1867,9,14,"Ootacamund","OTCM",NA,NA,"","","Hume coll.","Greater Flameback","GRFL","Piciformes"
"87.8.10.929","NHM Tring","Chrysocolaptes guttacristatus","",1867,5,22,"Ootacamund","OTCM",NA,NA,"","","Hume coll.","Greater Flameback","GRFL","Piciformes"
