modern_site_code,class,year_1870,year_2017,historical_site_code,longitude,latitude,ID,lc_change
OTCM2,Plantations (Tea & Timber),0,0.2,OTCM,76.708,11.399,32,0.2
OTCM2,Settlements,0,1,OTCM,76.708,11.399,32,1
OTCM3,Plantations (Tea & Timber),0,0.5,OTCM,76.70851,11.38741,33,0.5
OTCM3,Settlements,0,1,OTCM,76.70851,11.38741,33,1
RNMD1,Plantations (Tea & Timber),0,1,RNMD,76.796,11.332,34,1
RNMD2,Plantations (Tea & Timber),0,0.5,RNMD,76.783,11.328,35,0.5
SMPK2,Plantations (Tea & Timber),0,1,SMPK,76.799,11.356,36,1
SMPK2,Settlements,0,1,SMPK,76.799,11.356,36,1
TMTE1,Plantations (Tea & Timber),0,0.3333333333333333,TMTE,76.705255,11.281124,37,0.3333333333333333
TMTE1,Shola Forest,0,1,TMTE,76.705255,11.281124,37,1
WLTN1,Agricultural Land,0,0.16666666666666669,WLTN,76.789,11.365,39,0.16666666666666669
WLTN1,Plantations (Tea & Timber),0,1,WLTN,76.789,11.365,39,1
WLTN1,Settlements,0,0.5,WLTN,76.789,11.365,39,0.5
WLTN2,Agricultural Land,0,1,WLTN,76.779,11.355,40,1
WLTN2,Plantations (Tea & Timber),0,0.2,WLTN,76.779,11.355,40,0.2
WTCM1,Plantations (Tea & Timber),0,1,WTCM,76.561,11.344,41,1
WTCM2,Shola Forest,0,0.5,WTCM,76.552,11.333,42,0.5
